level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,683,410,2,3,10.095501,;
5,1,1,1,1,2,843,386,149,30,91.813179,SAPORS
5,1,1,1,1,3,1014,386,104,28,93.281036,LANE
5,1,1,1,1,4,1138,404,10,6,91.940094,-
5,1,1,1,1,5,1168,385,133,29,91.194542,BOOLE
5,1,1,1,1,6,1321,403,10,5,91.392197,-
5,1,1,1,1,7,1351,385,158,31,90.068047,DORSET
5,1,1,1,1,8,1527,404,11,6,90.068047,-
5,1,1,1,1,9,1572,385,41,29,22.17543,BH
5,1,1,1,1,10,1623,381,38,44,22.17543,25
5,1,1,1,1,11,1686,385,14,29,11.779728,8
5,1,1,1,1,12,1711,386,53,28,11.779728,ER
5,1,1,1,2,1,896,463,171,22,93.27269,TELEPHONE
5,1,1,1,2,2,1088,463,89,22,87.694832,BOOLE
5,1,1,1,2,3,1199,457,65,34,75.122406,(945
5,1,1,1,2,4,1279,457,47,34,75.122406,13)
5,1,1,1,2,5,1348,457,89,29,92.873543,51617
5,1,1,1,2,6,1459,473,10,6,90.16864,-
5,1,1,1,2,7,1491,463,92,22,75.188942,TELEX
5,1,1,1,2,8,1608,456,105,30,96.752693,123456
5,1,1,2,1,1,421,783,71,32,96.585716,Our
5,1,1,2,1,2,521,781,89,32,92.999229,Ref.
5,1,1,2,1,3,648,776,270,40,90.665176,350/PJC/EAC
5,1,1,2,1,4,1724,776,94,33,94.987198,18th
5,1,1,2,1,5,1846,777,192,39,96.525864,"January,"
5,1,1,2,1,6,2075,775,113,34,96.568535,1972.
5,1,1,2,2,1,424,984,63,30,91.804382,Dr.
5,1,1,2,2,2,523,983,90,31,86.572182,P.N.
5,1,1,2,2,3,648,981,190,38,87.813637,"Cundall,"
5,1,1,2,3,1,422,1031,149,43,96.076157,Mining
5,1,1,2,3,2,600,1035,164,36,93.263084,Surveys
5,1,1,2,3,3,795,1032,118,38,92.692001,"Ltd.,"
5,1,1,2,4,1,424,1084,171,38,96.074005,Holroyd
5,1,1,2,4,2,624,1082,113,39,96.580742,"Road,"
5,1,1,2,5,1,425,1130,190,43,96.578972,"Reading,"
5,1,1,2,6,1,425,1183,139,31,96.508804,Berks.
5,1,1,2,7,1,425,1335,97,29,96.304619,Dear
5,1,1,2,7,2,549,1335,117,35,96.364258,"Pete,"
5,1,1,3,1,1,551,1429,145,34,96.617241,Permit
5,1,1,3,1,2,723,1440,48,23,96.45694,me
5,1,1,3,1,3,803,1437,42,26,96.09124,to
5,1,1,3,1,4,876,1428,220,33,95.51104,introduce
5,1,1,3,1,5,1123,1438,75,31,96.771225,you
5,1,1,3,1,6,1227,1435,44,26,96.771225,to
5,1,1,3,1,7,1302,1431,68,30,96.38382,the
5,1,1,3,1,8,1402,1426,194,43,96.379219,facility
5,1,1,3,1,9,1624,1428,47,32,96.54834,of
5,1,1,3,1,10,1702,1425,220,35,96.066177,facsimile
5,1,1,3,2,1,428,1479,313,33,96.161934,transmission.
5,1,1,4,1,1,555,1584,43,29,96.324188,In
5,1,1,4,1,2,630,1579,217,34,96.029648,facsimile
5,1,1,4,1,3,878,1590,21,21,95.437737,a
5,1,1,4,1,4,924,1581,221,39,95.151085,photocell
5,1,1,4,1,5,1177,1578,43,33,96.967659,is
5,1,1,4,1,6,1252,1581,147,32,96.906723,caused
5,1,1,4,1,7,1428,1585,44,26,96.811996,to
5,1,1,4,1,8,1500,1579,177,40,96.952484,perform
5,1,1,4,1,9,1702,1587,22,23,96.321121,a
